Game,Game Time,Team,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge
Kentucky Wildcats vs. Troy Trojans,Mar 21 07:10PM ET,Kentucky Wildcats,-12,0.5080902653539343,-11.5,-0.014582765672318643,1.8,,-12.0,-9.1,-12.5,0.8349136645597093,-750,0.8438027376711045,-0.04743927661676128,0.048,,0.86,0.792049182896628,151,152.0,1.7,,152.0,148.602396701884,150.07,0.4713861843,0.5222086574,-0.052423339509523825,-0.0016008664095238379
Kentucky Wildcats vs. Troy Trojans,Mar 21 07:10PM ET,Troy Trojans,12,0.4919097346460658,11.5,-0.03189978916345804,1.8,,12.0,9.1,12.5,0.16508633544029078,512,0.15619726232889555,0.0017530021069574464,0.048,,0.14,0.207950817103372,151,152.0,1.7,,152.0,148.602396701884,150.07,0.4713861843,0.5222086574,-0.052423339509523825,-0.0016008664095238379
Marquette Golden Eagles vs. New Mexico Lobos,Mar 21 07:25PM ET,Marquette Golden Eagles,-4,0.4832164909801298,-4.0,-0.04059303282939403,1.4,,-4.0,-1.9,-4.6,0.6040900562089593,-175,0.6142802693431585,-0.03293234168300396,0.037,,0.62,0.56779968614952,152,153.5,0.3,,150.0,149.522220219036,149.57,0.4606034028,0.5330120964999999,-0.06320612100952383,0.009202572690476085
Marquette Golden Eagles vs. New Mexico Lobos,Mar 21 07:25PM ET,New Mexico Lobos,4,0.466394822495543,4.0,-0.05627820853070997,1.4,,4.0,1.9,4.6,0.3959099437910408,150,0.3857197306568415,-0.004090056208959247,0.037,,0.38,0.43220031385048,152,153.5,0.3,,150.0,149.522220219036,149.57,0.4606034028,0.5330120964999999,-0.06320612100952383,0.009202572690476085
Arizona Wildcats vs. Akron Zips,Mar 21 07:35PM ET,Akron Zips,15,0.4953029387967503,14.5,-0.02963767878044682,0.7,15.5,14.0,15.6,15.2,0.11058124617748402,762,0.11116249235496815,-0.0053851403771378314,0.013,0.11,0.1099999999999999,0.0867055313824727,167,167.0,2.1,169.0,166.0,163.792929001984,165.84,0.4755102251,0.5181556102,-0.04829929870952382,-0.005653913609523831
Arizona Wildcats vs. Akron Zips,Mar 21 07:35PM ET,Arizona Wildcats,-15,0.5046970612032498,-14.5,-0.0179759698230032,0.7,-15.5,-14.0,-15.6,-15.2,0.8894187538225159,-1275,0.8888375076450318,-0.037829923426161316,0.013,0.89,0.89,0.913294468617527,167,167.0,2.1,169.0,166.0,163.792929001984,165.84,0.4755102251,0.5181556102,-0.04829929870952382,-0.005653913609523831
UConn Huskies vs. Oklahoma Sooners,Mar 21 09:25PM ET,Oklahoma Sooners,4,0.5665570519730163,5.5,0.042747528163492476,2.7,,1.0,4.8,,0.364312166134243,190,0.33099297893681046,0.019484579927346424,0.102,,0.47,0.325262706663351,149,147.5,1.7,,151.0,148.577934794755,,0.5123377591,0.4812313769,-0.013728591610900454,-0.04029972357846884
UConn Huskies vs. Oklahoma Sooners,Mar 21 09:25PM ET,UConn Huskies,-4,0.4334429480269837,-5.5,-0.09036657578254015,2.7,,-1.0,-4.8,,0.635687833865757,-230,0.6690070210631895,-0.061281863103940015,0.102,,0.53,0.674737293336649,149,147.5,1.7,,151.0,148.577934794755,,0.5123377591,0.4812313769,-0.013728591610900454,-0.04029972357846884
Illinois Fighting Illini vs. Xavier Musketeers,Mar 21 09:45PM ET,Xavier Musketeers,3,0.513117072256026,3.5,-0.011823545321171136,1.7,,4.0,0.7,3.2,0.4048883849523438,141,0.3972381964030622,-0.010056518628923428,0.088,,0.35,0.475077147003251,160,159.5,0.6,,160.0,161.1035031029,160.71,0.4894273473,0.5041940111000001,-0.03998441740588238,-0.017337089378468784
Illinois Fighting Illini vs. Xavier Musketeers,Mar 21 09:45PM ET,Illinois Fighting Illini,-3,0.486882927743974,-3.5,-0.031189361412652494,1.7,,-4.0,-0.7,-3.2,0.5951116150476562,-170,0.6027618035969379,-0.034518014581973455,0.088,,0.65,0.524922852996749,160,159.5,0.6,,160.0,161.1035031029,160.71,0.4894273473,0.5041940111000001,-0.03998441740588238,-0.017337089378468784
Michigan St Spartans vs. Bryant Bulldogs,Mar 21 10:00PM ET,Michigan St Spartans,-18,0.5180008361313446,-17.5,-0.005808687678179214,0.8,-17.8,-19.0,-17.7,-19.2,0.9321359893373338,-2500,0.9231905465288036,-0.029402472201127794,0.011,0.94,0.96,0.941081432145864,151,152.5,1.8,152.0,149.0,148.248966432542,148.39,0.4650970866,0.5285075939,-0.05871243720952385,0.004698070090476181
Michigan St Spartans vs. Bryant Bulldogs,Mar 21 10:00PM ET,Bryant Bulldogs,18,0.4819991638686552,17.5,-0.041810359940868624,0.8,17.8,19.0,17.7,19.2,0.06786401066266608,1150,0.07680945347119646,-0.012135989337333924,0.011,0.06,0.04,0.0589185678541357,151,152.5,1.8,152.0,149.0,148.248966432542,148.39,0.4650970866,0.5285075939,-0.05871243720952385,0.004698070090476181
Oregon Ducks vs. Liberty Flames,Mar 21 10:10PM ET,Liberty Flames,6,0.5218288584314849,7.0,-0.0019806653780389816,1.0,1.8,4.0,4.0,3.3,0.3141699116885327,252,0.2724581210830344,0.03046769840885466,0.045,0.43,0.35,0.355881702294031,139,139.5,1.2,138.0,140.0,140.545652083202,138.31,0.4896803984999999,0.5038772066,-0.034129125309523944,-0.01993231720952382
Oregon Ducks vs. Liberty Flames,Mar 21 10:10PM ET,Oregon Ducks,-6,0.430899112511626,-7.0,-0.09291041129789784,1.0,-1.8,-4.0,-4.0,-3.3,0.6858300883114672,-312,0.7275418789169655,-0.07173676446549426,0.045,0.57,0.65,0.644118297705969,139,139.5,1.2,138.0,140.0,140.545652083202,138.31,0.4896803984999999,0.5038772066,-0.034129125309523944,-0.01993231720952382
Mississippi St Bulldogs vs. Baylor Bears,Mar 21 12:15PM ET,Mississippi St Bulldogs,0,,-1.0,,0.6,0.9,1.0,2.1,1.8,0.4870017661447056,-117,0.5140035322894112,-0.05216874076773681,0.03,0.46,0.48,0.420877617917576,145,144.5,0.9,145.0,147.0,146.798892174689,146.36,0.4993268579,0.4942310747,-0.02448266590952386,-0.02957844910952384
Mississippi St Bulldogs vs. Baylor Bears,Mar 21 12:15PM ET,Baylor Bears,0,,1.0,,0.6,-0.9,-1.0,-2.1,-1.8,0.5129982338552944,-104,0.4859964677105888,0.003206091598896399,0.03,0.54,0.52,0.579122382082424,145,144.5,0.9,145.0,147.0,146.798892174689,146.36,0.4993268579,0.4942310747,-0.02448266590952386,-0.02957844910952384
Alabama Crimson Tide vs. Robert Morris Colonials,Mar 21 12:40PM ET,Alabama Crimson Tide,-22,0.5120908238114182,-22.5,-0.018425608113464387,1.0,,-20.0,-21.8,-21.6,0.9566521474442702,-7000,0.943695479777954,-0.029263345513476313,0.001,,0.97,0.969217630221173,165,165.5,0.6,,164.0,165.064604998975,164.95,0.4705022404999999,0.5231631124,-0.053307283309523945,-0.0006464114095238171
Alabama Crimson Tide vs. Robert Morris Colonials,Mar 21 12:40PM ET,Robert Morris Colonials,22,0.4879091761885819,22.5,-0.028999036371804565,1.0,,20.0,21.8,21.6,0.043347852555729774,1600,0.05630452022204599,-0.015475676856034924,0.001,,0.03,0.0307823697788271,165,165.5,0.6,,164.0,165.064604998975,164.95,0.4705022404999999,0.5231631124,-0.053307283309523945,-0.0006464114095238171
Army Knights vs. Elon Phoenix,Mar 23 02:30PM ET,Army Knights,7,0.4756826119909313,6.5,-0.04812691181859252,1.8,,8.0,5.4,,0.28291550200960186,227,0.29218362913392726,-0.022588229333681653,0.048,,0.24,0.307294749770553,144,145.5,1.8,,144.0,141.459686465784,,0.4721451434,0.5214269441,-0.06273857753023249,0.009231822148780489
Army Knights vs. Elon Phoenix,Mar 23 02:30PM ET,Elon Phoenix,-7,0.5243173880090687,-6.5,0.0005078641995448496,1.8,,-8.0,-5.4,,0.7170844979903981,-285,0.7078163708660726,-0.022999890195255945,0.048,,0.76,0.692705250229447,144,145.5,1.8,,144.0,141.459686465784,,0.4721451434,0.5214269441,-0.06273857753023249,0.009231822148780489
Presbyterian Blue Hose vs. Illinois St Redbirds,Mar 23 07:00PM ET,Presbyterian Blue Hose,5,0.5204493208888971,5.5,-0.003360202920626776,1.4,7.0,5.0,4.3,,0.3372193093517427,186,0.33443861870348557,-0.011830398250596452,0.058,0.24,0.3399999999999999,0.34060551928333,140,139.5,1.6,143.0,141.0,139.796880646423,,0.5040987373,0.4894589881999999,-0.026417694624882637,-0.022736133751219634
Presbyterian Blue Hose vs. Illinois St Redbirds,Mar 23 07:00PM ET,Illinois St Redbirds,-5,0.479550679111103,-5.5,-0.04425884469842084,1.4,-7.0,-5.0,-4.3,,0.6627806906482572,-227,0.6655613812965144,-0.03185800399043748,0.058,0.76,0.66,0.65939448071667,140,139.5,1.6,143.0,141.0,139.796880646423,,0.5040987373,0.4894589881999999,-0.026417694624882637,-0.022736133751219634
Incarnate Word Cardinals vs. Manhattan Jaspers,Mar 23 12:00PM ET,Incarnate Word Cardinals,1,0.5069002916117006,1.5,-0.016909232197823254,0.6,,1.0,1.8,,0.4627285635764033,104,0.4681419305608546,-0.026271914663673235,0.032,,0.48,0.434630393183904,145,144.0,3.2,,149.0,144.48211618909,,0.5057178536,0.4878408365,-0.006477268351219534,-0.04267559542488264
Incarnate Word Cardinals vs. Manhattan Jaspers,Mar 23 12:00PM ET,Manhattan Jaspers,-1,0.4930997083882995,-1.5,-0.030709815421224362,0.6,,-1.0,-1.8,,0.5372714364235966,-125,0.5318580694391454,-0.01828411913195893,0.032,,0.52,0.565369606816096,145,144.0,3.2,,149.0,144.48211618909,,0.5057178536,0.4878408365,-0.006477268351219534,-0.04267559542488264
,,Alabama Crimson Tide,0,,,,,,-4.0,,,,,0.0,0.0,,,0.62,,81,,,,180.0,,,,,,
,,Kentucky Wildcats,0,,,,,,4.0,,,,,0.0,0.0,,,0.38,,81,,,,180.0,,,,,,
,,Texas Tech Red Raiders,0,,,,,,-2.0,,,,,0.0,0.0,,,0.57,,69,,,,154.0,,,,,,
,,Arizona Wildcats,0,,,,,,2.0,,,,,0.0,0.0,,,0.43,,69,,,,154.0,,,,,,
,,Maryland Terrapins,0,,,,,,-1.0,,,,,0.0,0.0,,,0.52,,72,,,,159.0,,,,,,
,,Illinois Fighting Illini,0,,,,,,1.0,,,,,0.0,0.0,,,0.48,,72,,,,159.0,,,,,,
,,UCLA Bruins,0,,,,,,2.0,,,,,0.0,0.0,,,0.43,,64,,,,142.0,,,,,,
,,Wisconsin Badgers,0,,,,,,-2.0,,,,,0.0,0.0,,,0.57,,64,,,,142.0,,,,,,
,,Louisville Cardinals,0,,,,,,1.0,,,,,0.0,0.0,,,0.4599999999999999,,63,,,,141.0,,,,,,
,,Clemson Tigers,0,,,,,,-1.0,,,,,0.0,0.0,,,0.54,,63,,,,141.0,,,,,,
,,Michigan Wolverines,0,,,,,,3.0,,,,,0.0,0.0,,,0.4,,67,,,,149.0,,,,,,
,,Purdue Boilermakers,0,,,,,,-3.0,,,,,0.0,0.0,,,0.6,,67,,,,149.0,,,,,,
,,Florida Gators,0,,,,,,-6.0,,,,,0.0,0.0,,,0.73,,73,,,,162.0,,,,,,
,,Missouri Tigers,0,,,,,,6.0,,,,,0.0,0.0,,,0.27,,73,,,,162.0,,,,,,
,,St. John's Red Storm,0,,,,,,-4.0,,,,,0.0,0.0,,,0.64,,64,,,,142.0,,,,,,
,,Marquette Golden Eagles,0,,,,,,4.0,,,,,0.0,0.0,,,0.36,,64,,,,142.0,,,,,,
,,Creighton Bluejays,0,,,,,,1.0,,,,,0.0,0.0,,,0.47,,65,,,,145.0,,,,,,
,,UConn Huskies,0,,,,,,-1.0,,,,,0.0,0.0,,,0.53,,65,,,,145.0,,,,,,
,,Michigan St Spartans,0,,,,,,-4.0,,,,,0.0,0.0,,,0.67,,64,,,,142.0,,,,,,
,,Oregon Ducks,0,,,,,,4.0,,,,,0.0,0.0,,,0.3299999999999999,,64,,,,142.0,,,,,,
,,New Mexico Lobos,0,,,,,,-1.0,,,,,0.0,0.0,,,0.53,,67,,,,149.0,,,,,,
,,Boise State Broncos,0,,,,,,1.0,,,,,0.0,0.0,,,0.47,,67,,,,149.0,,,,,,
,,Houston Cougars,0,,,,,,-7.0,,,,,0.0,0.0,,,0.75,,63,,,,139.0,,,,,,
,,BYU Cougars,0,,,,,,7.0,,,,,0.0,0.0,,,0.25,,63,,,,139.0,,,,,,
,,Colorado St Rams,0,,,,,,-1.0,,,,,0.0,0.0,,,0.51,,69,,,,153.0,,,,,,
,,Utah State Aggies,0,,,,,,1.0,,,,,0.0,0.0,,,0.49,,69,,,,153.0,,,,,,
,,Auburn Tigers,0,,,,,,-9.0,,,,,0.0,0.0,,,0.81,,70,,,,155.0,,,,,,
,,Ole Miss Rebels,0,,,,,,9.0,,,,,0.0,0.0,,,0.1899999999999999,,70,,,,155.0,,,,,,
,,Tennessee Volunteers,0,,,,,,-9.0,,,,,0.0,0.0,,,0.79,,61,,,,135.0,,,,,,
,,Texas Longhorns,0,,,,,,9.0,,,,,0.0,0.0,,,0.2099999999999999,,61,,,,135.0,,,,,,
,,Dayton Flyers,0,,,,,,-1.0,,,,,0.0,0.0,,,0.52,,66,,,,147.0,,,,,,
,,Saint Joseph's Hawks,0,,,,,,1.0,,,,,0.0,0.0,,,0.48,,66,,,,147.0,,,,,,
,,Duke Blue Devils,0,,,,,,-14.0,,,,,0.0,0.0,,,0.89,,69,,,,154.0,,,,,,
,,North Carolina Tar Heels,0,,,,,,14.0,,,,,0.0,0.0,,,0.1099999999999999,,69,,,,154.0,,,,,,
,,George Mason Patriots,0,,,,,,-3.0,,,,,0.0,0.0,,,0.59,,57,,,,127.0,,,,,,
,,GW Revolutionaries,0,,,,,,3.0,,,,,0.0,0.0,,,0.41,,57,,,,127.0,,,,,,
,,Loyola (Chi) Ramblers,0,,,,,,1.0,,,,,0.0,0.0,,,0.47,,64,,,,143.0,,,,,,
,,Saint Louis Billikens,0,,,,,,-1.0,,,,,0.0,0.0,,,0.53,,64,,,,143.0,,,,,,
,,Jacksonville St Gamecocks,0,,,,,,1.0,,,,,0.0,0.0,,,0.49,,64,,,,143.0,,,,,,
,,Middle Tennessee Blue Raiders,0,,,,,,-1.0,,,,,0.0,0.0,,,0.51,,64,,,,143.0,,,,,,
,,VCU Rams,0,,,,,,-9.0,,,,,0.0,0.0,,,0.8,,59,,,,131.0,,,,,,
,,St. Bonaventure Bonnies,0,,,,,,9.0,,,,,0.0,0.0,,,0.1999999999999999,,59,,,,131.0,,,,,,
,,Tulane Green Wave,0,,,,,,3.0,,,,,0.0,0.0,,,0.41,,68,,,,151.0,,,,,,
,,Florida Atlantic Owls,0,,,,,,-3.0,,,,,0.0,0.0,,,0.59,,68,,,,151.0,,,,,,
,,Utah Valley Wolverines,0,,,,,,-1.0,,,,,0.0,0.0,,,0.55,,61,,,,135.0,,,,,,
,,Seattle Redhawks,0,,,,,,1.0,,,,,0.0,0.0,,,0.4499999999999999,,61,,,,135.0,,,,,,
,,Liberty Flames,0,,,,,,-7.0,,,,,0.0,0.0,,,0.75,,63,,,,141.0,,,,,,
,,Kennesaw St Owls,0,,,,,,7.0,,,,,0.0,0.0,,,0.25,,63,,,,141.0,,,,,,
,,UAB Blazers,0,,,,,,-3.0,,,,,0.0,0.0,,,0.62,,71,,,,157.0,,,,,,
,,East Carolina Pirates,0,,,,,,3.0,,,,,0.0,0.0,,,0.38,,71,,,,157.0,,,,,,
,,Miami (OH) RedHawks,0,,,,,,3.0,,,,,0.0,0.0,,,0.42,,64,,,,143.0,,,,,,
,,Kent State Golden Flashes,0,,,,,,-3.0,,,,,0.0,0.0,,,0.58,,64,,,,143.0,,,,,,
,,Grand Canyon Antelopes,0,,,,,,-5.0,,,,,0.0,0.0,,,0.67,,64,,,,143.0,,,,,,
,,Cal Baptist Lancers,0,,,,,,5.0,,,,,0.0,0.0,,,0.3299999999999999,,64,,,,143.0,,,,,,
,,Memphis Tigers,0,,,,,,-10.0,,,,,0.0,0.0,,,0.81,,67,,,,148.0,,,,,,
,,Wichita St Shockers,0,,,,,,10.0,,,,,0.0,0.0,,,0.1899999999999999,,67,,,,148.0,,,,,,
,,UC San Diego Tritons,0,,,,,,-10.0,,,,,0.0,0.0,,,0.82,,63,,,,140.0,,,,,,
,,UC Santa Barbara Gauchos,0,,,,,,10.0,,,,,0.0,0.0,,,0.18,,63,,,,140.0,,,,,,
,,UC Irvine Anteaters,0,,,,,,-11.0,,,,,0.0,0.0,,,0.83,,70,,,,155.0,,,,,,
,,Cal Poly Mustangs,0,,,,,,11.0,,,,,0.0,0.0,,,0.17,,70,,,,155.0,,,,,,
,,Quinnipiac Bobcats,0,,,,,,-3.0,,,,,0.0,0.0,,,0.61,,64,,,,143.0,,,,,,
,,Iona Gaels,0,,,,,,3.0,,,,,0.0,0.0,,,0.39,,64,,,,143.0,,,,,,
,,Jackson St Tigers,0,,,,,,-1.0,,,,,0.0,0.0,,,0.56,,63,,,,141.0,,,,,,
,,Bethune-Cookman Wildcats,0,,,,,,1.0,,,,,0.0,0.0,,,0.4399999999999999,,63,,,,141.0,,,,,,
,,Merrimack Warriors,0,,,,,,-4.0,,,,,0.0,0.0,,,0.64,,58,,,,130.0,,,,,,
,,Mt. St. Mary's Mountaineers,0,,,,,,4.0,,,,,0.0,0.0,,,0.36,,58,,,,130.0,,,,,,
,,Akron Zips,0,,,,,,-9.0,,,,,0.0,0.0,,,0.8,,76,,,,169.0,,,,,,
,,Toledo Rockets,0,,,,,,9.0,,,,,0.0,0.0,,,0.1999999999999999,,76,,,,169.0,,,,,,
,,Alabama St Hornets,0,,,,,,-3.0,,,,,0.0,0.0,,,0.6,,60,,,,133.0,,,,,,
,,Grambling St Tigers,0,,,,,,3.0,,,,,0.0,0.0,,,0.4,,60,,,,133.0,,,,,,
,,South Carolina St Bulldogs,0,,,,,,-7.0,,,,,0.0,0.0,,,0.75,,66,,,,147.0,,,,,,
,,North Carolina Central Eagles,0,,,,,,7.0,,,,,0.0,0.0,,,0.25,,66,,,,147.0,,,,,,
,,North Texas Mean Green,0,,,,,,-13.0,,,,,0.0,0.0,,,0.87,,56,,,,125.0,,,,,,
,,Tulsa Golden Hurricane,0,,,,,,13.0,,,,,0.0,0.0,,,0.13,,56,,,,125.0,,,,,,
,,Norfolk St Spartans,0,,,,,,-10.0,,,,,0.0,0.0,,,0.82,,71,,,,158.0,,,,,,
,,Morgan St Bears,0,,,,,,10.0,,,,,0.0,0.0,,,0.18,,71,,,,158.0,,,,,,
,,Cornell Big Red,0,,,,,,-4.0,,,,,0.0,0.0,,,0.65,,71,,,,158.0,,,,,,
,,Dartmouth Big Green,0,,,,,,4.0,,,,,0.0,0.0,,,0.35,,71,,,,158.0,,,,,,
,,Yale Bulldogs,0,,,,,,-9.0,,,,,0.0,0.0,,,0.79,,66,,,,147.0,,,,,,
,,Princeton Tigers,0,,,,,,9.0,,,,,0.0,0.0,,,0.2099999999999999,,66,,,,147.0,,,,,,
,,Bryant Bulldogs,0,,,,,,-6.0,,,,,0.0,0.0,,,0.7,,65,,,,144.0,,,,,,
,,Maine Black Bears,0,,,,,,6.0,,,,,0.0,0.0,,,0.3,,65,,,,144.0,,,,,,
,,Xavier Musketeers,0,,,,,,1.0,,,,,0.0,0.0,,,0.5,,68,,,,151.0,,,,,,
,,San José St Spartans,0,,,,,,1.0,,,,,0.0,0.0,,,0.48,,63,,,,141.0,,,,,,
,,North Alabama Lions,0,,,,,,5.0,,,,,0.0,0.0,,,0.3199999999999999,,65,,,,145.0,,,,,,
,,Bradley Braves,0,,,,,,-5.0,,,,,0.0,0.0,,,0.68,,65,,,,145.0,,,,,,
,,N Colorado Bears,0,,,,,,8.0,,,,,0.0,0.0,,,0.24,,66,,,,146.0,,,,,,
,,Samford Bulldogs,0,,,,,,8.0,,,,,0.0,0.0,,,0.26,,64,,,,142.0,,,,,,
,,San Francisco Dons,0,,,,,,-8.0,,,,,0.0,0.0,,,0.77,,63,,,,140.0,,,,,,
,,Northern Iowa Panthers,0,,,,,,10.0,,,,,0.0,0.0,,,0.18,,65,,,,144.0,,,,,,
,,SMU Mustangs,0,,,,,,-10.0,,,,,0.0,0.0,,,0.82,,65,,,,144.0,,,,,,
,,Furman Paladins,0,,,,,,8.0,,,,,0.0,0.0,,,0.2199999999999999,,58,,,,128.0,,,,,,
,,American Eagles,0,,,,,,-1.0,,,,,0.0,0.0,,,0.52,,59,,,,131.0,,,,,,
,,Georgia Bulldogs,0,,,,1.4,,6.0,8.5,6.0,,,0.0,0.0,0.062,,0.31,0.221984448192904,68,,1.6,,150.0,152.698495338381,149.88,,,,
,,Gonzaga Bulldogs,0,,,,1.4,,-6.0,-8.5,-6.0,,,0.0,0.0,0.062,,0.69,0.778015551807096,68,,1.6,,150.0,152.698495338381,149.88,,,,
,,Arkansas Razorbacks,0,,,,1.1,,4.0,6.2,5.3,,,0.0,0.0,0.05,,0.36,0.289202301567665,65,,1.4,,142.0,144.628653575038,143.99,,,,
,,Kansas Jayhawks,0,,,,1.1,,-4.0,-6.2,-5.3,,,0.0,0.0,0.05,,0.64,0.710797698432335,65,,1.4,,142.0,144.628653575038,143.99,,,,
,,Drake Bulldogs,0,,,,2.5,,6.0,2.8,7.8,,,0.0,0.0,0.072,,0.29,0.392481816051104,61,,1.6,,136.0,137.739839616039,134.46,,,,
,,McNeese Cowboys,0,,,,0.9,6.8,6.0,6.3,8.1,,,0.0,0.0,0.022,0.24,0.28,0.275070861157855,61,,1.7,133.0,136.0,136.623652180125,134.11,,,,
,,Texas A&M Aggies,0,,,,1.8,-8.6,-8.0,-5.6,-9.8,,,0.0,0.0,0.056,0.8,0.78,0.694616230991556,64,,1.5,141.0,142.0,142.353313151695,138.92000000000002,,,,
,,High Point Panthers,0,,,,1.1,,9.0,7.9,10.1,,,0.0,0.0,0.022,,0.1999999999999999,0.231435107111926,69,,1.9,,155.0,152.657827450089,151.27,,,,
,,UNC Wilmington Seahawks,0,,,,1.9,15.4,15.0,12.4,17.1,,,0.0,0.0,0.021,0.08,0.0899999999999999,0.120942151009805,66,,1.1,146.0,147.0,144.434932281869,145.89999999999998,,,,
,,Wofford Terriers,0,,,,1.1,16.8,17.0,17.1,19.1,,,0.0,0.0,0.006,0.05,0.06,0.0501162928135374,61,,1.5,133.0,135.0,135.677035650911,136.52,,,,
,,Montana Grizzlies,0,,,,1.4,,18.0,16.0,18.6,,,0.0,0.0,0.007,,0.06,0.0693658982287338,67,,1.4,,152.0,149.608816113026,149.65,,,,
,,Omaha Mavericks,0,,,,1.3,,19.0,19.0,16.7,,,0.0,0.0,0.004,,0.05,0.043720793541503,67,,0.9,,147.0,148.068148477573,148.82999999999998,,,,
,,SIU-Edwardsville Cougars,0,,,,1.7,24.1,24.0,26.6,27.4,,,0.0,0.0,0.002,0.01,0.01,0.006053791605596,57,,0.9,126.0,126.0,125.896048457809,127.68,,,,
